1C,1c
Logging,logging
Logical Properties,logical_properties
Looker Studio,looker_studio
LTV продукта,ltv_product
Matplotlib,matplotlib
Maven,maven
MAX,max
MDE,mde
Metabase,metabase
Metasploit,metasploit
MIN,min
Miro,miro
MLflow,mlflow
Mock-тестирование,mock_tstng
MongoDB,mongodb
Monitoring,monitoring
MoSCoW,moscow
Move-семантика,move_semantics
MS Excel,ms_excel
MS PowerPoint,ms_powerpoint
MVC,mvc
MVP,mvp
MVVM,mvvm
Naabu,naabu
Nest.js,nest_js
Network Load Balancer,network_load_balancer
Nexus,nexus
Nginx,nginx
Nmap,nmap
Node JS,node_js
NodeJS и NPM,nodejs_and_npm
Non-perfomance-маркетинг,non_perfomance_marketing
NoSQL,nosql
Notebook,notebook
Notion,notion
NPV,npv
Nuclei,nuclei
OAuth2.0/OIDC,oauth2_oidc
OFFSET,offset
OkHttp,okhttp
OLV,olv
OPEX и CAPEX,opex_and_capex
Optuna,optuna
ORDER BY,order_by
ORM,orm
OWASP ZAP,owasp_zap
Ozon,ozon
P-value,p_value
P&L, BS, CF,p&l,_bs,_cf
Packer,packer
Pandas,pandas
Parcel,parcel
PCA,pca
PDC,pdc
Perfomance-маркетинг,perfomance_marketing
Performance review,performance_review
Personas,personas
PEST-анализ,pest_analysis
PgAdmin,pgadmin
Pipeline,pipeline
PL/pgSQL,pl_pgsql
PMF,pmf
POC (Proof of concept),poc_(proof_of_concept)
PostCSS,postcss
PostgreSQL,postgresql
Postman,postman
Power BI,power_bi
Power Point,power_point
PowerPoint,powerpoint
Prettier и Stylelint,prettier_and_stylelint
Product growth,product_growth
Prometheus,prometheus
PSB,psb
psql,psql
Pug,pug
PyCharm,pycharm
pydantic,pydantic
Pytest,pytest
Python,python
RabbitMQ,rabbitmq
RAII,raii
RAS,ras
React,react
React Router,react_router
Redis,redis
Redux,redux
REST,rest
REST / SOAP API,rest_soap_api
REST API,rest_api
RestAssured,restassured
Retrofit,retrofit
RFM-анализ,rfm_analysis
Room,room
RxJava,rxjava
S/T-learner,s_t_learner
SASS и SCSS,sass_and_scss
SCAMPER,scamper
Scikit-learn,scikit_learn
SciPy,scipy
Scrum,scrum
seaborn,seaborn
Selenide,selenide
Selenium WebDriver,selenium_webdriver
Sendsay,sendsay
SEO,seo
Server Side Rendering,server_side_rendering
SExI,sexi
Shodan,shodan
SMART,smart
SMM,smm
